team,parent
API Registration & Validation,Platform Enablement
Access Management,Platform  Foundations
Agent Led Sales,Modernization
Analytics,
Analytics.fordpro.com,Business Intelligence
"Authenticated Customer, Fleet Site Migration",Sales Management
B2BCRM,CRM Core
BEV Fit Tools,Sales Management
Billing & Invoicing,Billing & Payments
Billing & Payments,Marketplace
Build and Price,Vehicle Sales
Business Intelligence,Analytics
CADB migration,Data Services - CRM and Martech
CCoE Analytics,Data Science
CRM Core,Customer Relationship Management
CRM Customer Data,CRM Core
CRM Data Interfaces,CRM Foundations
CRM Data Quality,CRM Foundations
CRM DevOps,CRM Foundations
CRM Foundations,Customer Relationship Management
CRM Pre-Build,Salesforce Enablement
Case Management Workflows,Service Cloud Modernization
Catalog Management,Online Marketplace
Charging Metrics,Business Intelligence
Common eXperience Components,Platform  Foundations
Configuration Engine,Vehicle Sales
Configure Price Quote,Modernization
Content Management (AEM for authoring and CMS),Web App
Content and Brand Marketing,Web App
Converter Collaborator,Upfitters and Converters
Core App,Mobile App
Customer Profiling,Data Science
Customer Relationship Management,
Cybersecurity,Platform Engineering
DaaS - Service cloud,Data as a service
Data Discovery,Data as a service
Data Domain Modeling,Data as a service
Data Governance,Pro360 Data Foundations
Data Ingestion and Transformation,Pro360 Data Foundations
Data Ops,Pro360 Data Foundations
Data Science,Analytics
Data Science - Service & Parts,Data Science
Data Services,
Data Services - CRM and Martech,Data Services
Data as a service,Data Services
Dealer Led Sales,Modernization
DevSecOps Enablement,Platform Enablement
Drive & Operate,Fleet & Service
EU Commercial Deals,Incentives and Bids
Equipment Management,Marketplace Admin
FORDLiive EU,Maintain & Repair
FORDLiive Global (Fleet & Service),Maintain & Repair
FORDLiive – Dealer Availability Display (DAD),Maintain & Repair
FORDLiive+ Customer Value Demonstrator (CVD),Maintain & Repair
FinSimple - Modernization,Modernization
Fleet & Service,
Fleet Customer Management,Incentives and Bids
Fleet Entity Management,Drive & Operate
Fleet Parts & Services Billing,Drive & Operate
Fleet Subscription Interface,Drive & Operate
Fleet.ford.com,Sales Management
Ford Pro Gateway,Platform  Foundations
FordLiive Global,Business Intelligence
FordLiive Retooling,Pro360 Data Foundations
Fulfillment,Marketplace
Global Fleet Identification Number,Incentives and Bids
Government Deals,Incentives and Bids
Identity Enablement,Platform  Foundations
Identity Modernization,Data Services - CRM and Martech
Identity Service,Data Services - CRM and Martech
Incentive & Bids Dashboards,Incentives and Bids
Incentives and Bids,Sales Solutions
Incident Management,Platform Enablement
Integrated Campaign Analytics,Marketing & CX
Integrated Customer Experience,Marketing & CX
Inventory Management,Fulfillment
Maintain & Repair,Fleet & Service
Managed Maintenance,Drive & Operate
Marketing & CX,Analytics
Marketplace,
Marketplace Admin,Marketplace
Metrics Engineering and Tools,Business Intelligence
Mobile App,Storefront
Mobile Service EU,Maintain & Repair
Mobile Service NA,Maintain & Repair
Model Ops,Data Science
Modernization,Customer Relationship Management
NA Commercial Deals,Incentives and Bids
Notifications,Platform  Foundations
Observability,Platform Enablement
Online Marketplace,Marketplace
Order Management,Fulfillment
Ordering,Sales Solutions
Payment,Billing & Payments
Platform  Foundations,Platform Engineering
Platform Enablement,Platform Engineering
Platform Engineering,
Platform Validation,Platform Enablement
Pro 360 API,Pro360 Data Foundations
Pro360 Data Foundations,Data Services
ProTech GPT,Data Science
Productivity,Mobile App
Quote to Order,Ordering
Reports & Dashboards,CRM Core
Sales & Service Cloud,CRM Core
Sales Management,Sales Solutions
Sales Solutions,
Salesforce Data Interface,Data Services - CRM and Martech
Salesforce Enablement,Customer Relationship Management
Search & Locate,Web App
Security Enablement,Cybersecurity
Security Protection and Monitoring,Cybersecurity
Service & Parts Metrics,Business Intelligence
Service Cloud Integrations,Service Cloud Modernization
Service Cloud Modernization,Customer Relationship Management
Site Analytics,Marketing & CX
Software Fulfillment,Fulfillment
Software Subscriptions,Fulfillment
Storefront,
Subscription Management,Marketplace Admin
Title & Registration Services,Drive & Operate
Tools App,Sales Management
Upfit Tools,Upfitters and Converters
Upfitter Enablement,Upfitters and Converters
Upfitters and Converters,Sales Solutions
Uptime,Mobile App
Usage Management,Fulfillment
Used Vehicle - Inventory Management,Sales Management
Used Vehicle - Offering Management,Sales Management
User Growth,Mobile App
Vehicle & Upfit Metrics,Business Intelligence
Vehicle Charging & Utilization,Data Science
Vehicle Order Status,Ordering
Vehicle Sales,Sales Solutions
Vehicle Sales Interface,Vehicle Sales
Vehicle Storefront,Web App
Vehicles & Revenue Management,Data Science
Web App,Storefront
eCommerce,Online Marketplace
